ID_MEDICAMENTO,DESCRIPCION,PRECIO_UNITARIO,INVENTARIO
376,PANADOL EXTEND COMPRIMIDOS RECUBIERTOS DE LIBERACIÓN PROLONGADA 665 mg,81908,18
377,GESIDOL COMPRIMIDOS MASTICABLES 80 mg,24706,77
378,CALORUB CREMA,84369,46
379,"GENTEAL GEL OFTÁLMICO 0,3%",27067,7
380,CALCIMAX D3 200 COMPRIMIDOS,83822,59
381,FASACAINE CON ALOE VERA GEL TÓPICO,27853,51
382,FASAFLEX PARCHE POROSO,71178,32
383,MENTHOLATUM LADY UNGÜENTO TÓPICO,78772,4
384,CAPRIMIDA - D DÚO CÁPSULAS BLANDAS,39011,59
385,AUCUSIK PLUS GEL TÓPICO,76783,16
386,CARBON SULFAGUANIDINA COMPRIMIDOS,78147,70
387,POLIVITAMÍNICOS COMPRIMIDOS RECUBIERTOS,72598,2
388,PREDUAL POLVO PARA SUSPENSIÓN ORAL EN SOBRES,98594,1
389,"SOLULIMP SOLUCIÓN PARA NEBULIZACIÓN NASAL 0,9%",27505,65
390,AGUA BIDESTILADA SOLUCIÓN INYECTABLE,98865,94
391,"VOLTAREN AEROSOL TÓPICO 1,16%",39792,66
392,NOSCAPINA COMPRIMIDOS 20 mg,80797,100
393,ÁCIDO DEHIDROCÓLICO COMPRIMIDOS 250 mg,62794,89
394,"FLECTOR GEL TÓPICO 1,29%",13563,35
395,"LAXONAROL CÁPSULAS BLANDAS 1,1 g",78481,76
396,BROMHEXINA CLORHIDRATO COMPRIMIDOS 8 mg,28490,45
397,POLIVITAMÍNICO JARABE,23206,87
398,GASDOL SUSPENSIÓN 5 mg/5 mL,93294,83
399,GASDOL COMPRIMIDOS 10 mg,22356,22
400,GASDOL SUSPENSIÓN PARA GOTAS ORALES 10 mg/mL,30944,28
401,COLPURIL PLUS MOUSSE AEROSOL,43215,92
402,ADOLEXMED-CELL PLUS COMPRIMIDOS DE DISOLUCIÓN BUCAL,20154,50
403,METAMIZOL SÓDICO SUPOSITORIOS 500 mg,77156,92
404,AGUA SULFATADA PICRICA SOLUCIÓN TÓPICA,14808,27
405,LUVIS SOLUCIÓN OFTÁLMICA,93791,44
406,PERMETRINA SHAMPOO 1%,71914,56
407,"ACRYLARM GEL OFTÁLMICO 0,2%",37953,46
408,"ULTRATHON 3M CREMA TÓPICA 31,58%",77944,57
409,REPELENTE DE INSECTOS AEROSOL,11179,45
410,"HIPERFLEX UD POLVO PARA SOLUCIÓN ORAL, EN SOBRES",13142,90
411,NASTIGRIP COMPRIMIDOS,30031,86
412,MENTHONASAL SOLUCIÓN NASAL EN TÓRULAS,11141,64
413,NIOFEN CÁPSULAS BLANDAS 200 mg,15266,39
414,COTIBIN FLU DÍA Y NOCHE POLVO PARA SOLUCIÓN ORAL EN SOBRES,96513,12
415,SINUS SOLUCIÓN NASAL 3%,46194,61
416,BUCOGERM TOS COMPRIMIDOS MASTICABLES,36995,78
417,DIBUNAFON JARABE,79940,30
418,DISFRUTA CLÁSICO SAL EFERVESCENTE,27337,97
419,DISFRUTA LIMÓN SAL EFERVESCENTE,33810,50
420,GENIOL COMPUESTO POLVO PARA SOLUCIÓN ORAL,82233,35
421,GENIOL COMPUESTO CON CLORFENAMINA POLVO PARA SOLUCIÓN ORAL,32168,96
422,GENIOL COMPUESTO DN POLVO PARA SOLUCIÓN ORAL,71595,92
423,VITALMIN POLVO PARA SUSPENSIÓN ORAL,85541,40
424,KITADOL NOCHE COMPRIMIDOS RECUBIERTOS,89665,89
425,NOLAIS SHAMPOO 1%,36100,97
426,DOCIVIN SUSPENSIÓN ORAL 5 mg/5 mL,32715,100
427,DOCIVIN SUSPENSIÓN PARA  GOTAS ORALES 10 mg/mL,48774,75
428,LEVUCAL D INSTANT GRANULADO EFERVESCENTE PARA SOLUCIÓN ORAL,68582,54
429,BISOLVON COMPRIMIDOS DISPERSABLES 8 mg,93475,75
430,UROKNOP POLVO EFERVESCENTE,65214,74
431,BAINE GEL TÓPICO 3%,40100,82
432,TRIVITANA Q10 CÁPSULAS BLANDAS,87899,62
433,ASPIRINA C NF GRANULADO EFERVESCENTE EN SOBRES,61814,32
434,ENO REGULAR SAL DE FRUTA,13887,3
435,SILIGAZ CÁPSULAS 10 mg,12826,1
436,QUITACALLOS POMADA DÉRMICA 30%,34642,78
437,CAPRIMIDA - D CÁPSULAS,87492,47
438,CAPRIMIDA - D FORTE CÁPSULAS,55762,75
439,VATANAL CREMA RECTAL,97491,33
440,VATANAL SUPOSITORIOS,21490,29
441,IBUPROFENO INFANTIL SUSPENSIÓN ORAL 100 mg/5 mL,41583,3
442,CALMATOL JARABE,38198,30
443,ÁCIDO ACETILSALICÍLICO COMPRIMIDOS MASTICABLES 100 mg,57587,65
444,SOLARCAINE NF AEROSOL TÓPICO,60961,55
445,"CLARIMIR SOLUCIÓN OFTÁLMICA 0,1%",32621,67
446,SILIGAZ SUSPENSIÓN PARA GOTAS ORALES 10 mg/mL,10682,15
447,VISINE ADVANCE RELIEF SOLUCIÓN OFTÁLMICA,95353,44
448,DOMPERIDONA SUSPENSIÓN ORAL PARA GOTAS 10 mg/mL,40611,66
449,ACTRON PEDIÁTRICO SUSPENSIÓN ORAL 100 mg/5 mL,21852,13
450,BISOLVON COMPRIMIDOS 8 mg,59671,17
451,COLONOK BALANCE COMPRIMIDOS RECUBIERTOS 500 mg,25311,8
452,BISOLVON INFANTIL JARABE 4 mg/5 mL,33121,15
453,"VISIONAL SOLUCIÓN OFTÁLMICA 0,05%",13426,86
454,FASAPRINA FORTE COMPRIMIDOS 650 mg,55582,84
455,"TURBOGESIC GEL TÓPICO 1,16%",26517,60
456,AGUA ESTÉRIL PARA INYECTABLES,67501,24
457,DOMPERIDONA COMPRIMIDOS 10 mg,94027,48
458,EDUBEL GEL HUMECTANTE VAGINAL 2%,38531,15
459,TAPSIN SIN CAFEÍNA CON PAMABROM COMPRIMIDOS,27952,8
460,"COLURAL COLUTORIO 0,12%",12832,53
461,"FLUORURO DE SODIO COLUTORIO 0,05%",33917,91
462,DESENKIN PASTA DENTRIFICA,64719,48
463,COTIBIN PLUS POLVO PARA SUSPENSIÓN ORAL EN SOBRES,35383,83
464,ASPIRINA 100 COMPRIMIDOS 100 mg,43917,47
465,"PEDIASEA SOLUCIÓN NASAL PARA NEBULIZACIÓN 0,9%",64115,90
466,ASPIRINA COMPRIMIDOS 500 mg,78533,21
467,CAFIASPIRINA COMPRIMIDOS,32114,45
468,KITADOL INFANTIL COMPRIMIDOS MASTICABLES 160 mg,89018,42
469,YASTA COMPRIMIDOS EFERVESCENTES,72448,81
470,CAFIASPIRINA PLUS COMPRIMIDOS,96351,68
471,DOLSOM COMPRIMIDOS DISPERSABLES 500 mg,60544,69
472,GRIPASAN NUEVA FÓRMULA NOCHE POLVO PARA SOLUCIÓN ORAL EN SOBRES,83453,46
473,GRIPASAN NUEVA FÓRMULA DÍA POLVO PARA SOLUCIÓN ORAL EN SOBRES,14630,21
474,CLORURO DE BENZALCONIO - TIMOL COMPRIMIDOS,36815,53
475,FINARTRIT POLVO PARA SOLUCIÓN ORAL,76228,100
476,PERFUNGOL POLVO DÉRMICO,69259,0
477,METAMIZOL SÓDICO MONOHIDRATO COMPRIMIDOS 300 mg,15173,88
478,CARBOTOS PEDIÁTRICO JARABE 100 mg/5 mL.,58905,22
479,AUCUSIK POMADA,21192,51
480,"FLAMESAN GEL TÓPICO 1,16%",90319,43
481,DURAPREP SOLUCIÓN TÓPICA,96937,65
482,CALIRAL CÁPSULAS BLANDAS 1100 mg,63515,49
483,FLUICOR ASA 81 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 81 mg,48705,67
484,ALCOHOL ETÍLICO SOLUCIÓN TÓPICA 61%,24440,94
485,"LÁGRIMAS ARTIFICIALES SOLUCIÓN OFTÁLMICA 1,4%",67443,12
486,CLORHEXIDINA GLUCONATO 1% - ALCOHOL ETÍLICO 61% SOLUCIÓN TÓPICA,76467,53
487,EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POLVO DÉRMICO,27355,76
488,EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POMADA DÉRMICA,48687,3
489,HIPOGLOS POMADA,74683,13
490,TRIVITANA D.M. PERLAS CÁPSULAS BLANDAS,40863,49
491,PARACETAMOL COMPRIMIDOS 500 mg,48383,12
492,ESANTERM SUSPENSIÓN ORAL 100 mg/ 5 mL,21950,28
493,AGUA ESTÉRIL PARA INYECTABLES,15076,58
494,PANCRIT COMPRIMIDOS DE DISOLUCIÓN BUCAL,74540,75
495,TRIOX NF COMPRIMIDOS RECUBIERTOS 275 mg,26488,14
496,MINTA-C COMPRIMIDOS MASTICABLES 500 mg,49216,0
497,FASAMOL ANTIGRIPAL CÁPSULAS,61512,51
498,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,53988,83
499,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,31031,21
500,LOMPRAX COMPRIMIDOS MASTICABLES 40 mg,15291,93
501,DOMPERIDONA COMPRIMIDOS 10 mg,49914,40
502,TAPSIN UP POLVO EFERVESCENTE PARA SOLUCIÓN ORAL EN SOBRES,99577,34
503,PARACETAMOL COMPRIMIDOS 500 mg,31474,89
504,TAPSIN COMPUESTO SABOR A MIEL-LIMÓN DE PICA POLVO PARA SOLUCIÓN ORAL EN SOBRES,41830,5
505,TAPSIN COMPUESTO CON CLORFENAMINA MALEATO CITRUS POLVO PARA SOLUCIÓN ORAL EN SOBRES,48690,75
506,TAPSIN COMPUESTO CITRUS POLVO PARA SOLUCIÓN ORAL EN SOBRES,88162,76
507,TAPSIN COMPUESTO CON CLORFENAMINA MALEATO SABOR A MIEL-LIMÓN DE PICA POLVO PARA SOLUCIÓN ORAL EN SOBRES,78222,0
508,"GERMOSEPT SOLUCIÓN TÓPICA 0,175%",70443,32
509,FLUICOR ASA 325 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 325 mg,46568,33
510,DISFRUTA TROPICAL SAL EFERVESCENTE EN SOBRES,28240,85
511,GASORBOL PLUS SUSPENSIÓN,27560,9
512,DISFRUTA CITRUS SAL EFERVESCENTE EN SOBRES,46382,82
513,HEADOL PEDIÁTRICO SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,70831,69
514,HEADOL COMPRIMIDOS 500 mg,49698,69
515,PANADOL HOT REM POLVO PARA SOLUCIÓN ORAL EN SOBRES,37347,54
516,GASORBOL PLUS COMPRIMIDOS,51843,80
517,ALUMINIO HIDRÓXIDO GEL COMPRIMIDOS MASTICABLES 500 mg,49784,81
518,PETROCEL SHAMPOO,44880,19
519,UNGÜENTO TÓPICO MENTOLADO,28274,28
520,VITAMINA C COMPRIMIDOS MASTICABLES 100 mg,45285,24
521,"CLORURO DE SODIO SOLUCIÓN NASAL 0,9%",90371,81
522,TAPSIN COMPUESTO DN PLUS COMPRIMIDOS RECUBIERTOS,60251,73
523,DIMETICONA SUSPENSIÓN PARA GOTAS ORALES 4%,94073,21
524,DIMETICONA COMPRIMIDOS MASTICABLES 40 mg,73321,64
525,"TRICLOSÁN JABÓN LÍQUIDO 0,5%",74326,66
526,PARACETAMOL COMPRIMIDOS 500 mg,48201,2
527,TOL TOTAL ACTIVE COMPRIMIDOS RECUBIERTOS,52867,43
528,KANK-A GEL BUCAL 20% SOFTBRUSH,64718,89
529,ESANFLU INFANTIL JARABE 15 mg/5 mL,53967,2
530,ESANFLU ADULTO JARABE 30 mg/5 mL.,96723,28
531,CLARAGINE SABOR MIEL- LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL,81022,62
532,CARVAS CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 100 mg,71850,78
533,POVIN POMADA TÓPICA,41802,33
534,COMBIZIM COMPOSITUM GRAGEAS,40596,52
535,"MERPAL SOLUCIÓN TÓPICA SPRAY 1,16%",90307,13
536,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,73511,92
537,COTIBIN PLUS COMPRIMIDOS,56484,71
538,CALCIMAX COMPRIMIDOS 200 mg,51515,55
539,CALCIMAX FORTE COMPRIMIDOS 400 mg,28964,25
540,FLUMED JARABE 8 mg/5 mL,34467,77
541,VERRUFILM SOLUCIÓN TÓPICA,71346,100
542,DOLO-ESAN COMPRIMIDOS 500 mg,66123,95
543,CALCIMAX D3 400 COMPRIMIDOS,47367,73
544,"OCTILIA SOLUCIÓN OFTÁLMICA 0,05%",71305,63
545,CAPRIMIDA CÁPSULAS 500 mg,30716,24
546,TAPSIN COMPUESTO NOCHE PLUS COMPRIMIDOS RECUBIERTOS,50350,77
547,TAPSIN COMPUESTO DÍA PLUS COMPRIMIDOS RECUBIERTOS,79325,33
548,"KEPRODOL GEL TÓPICO 2,5%",91201,36
549,"NP-27 SOLUCIÓN TÓPICA 8,71%",13555,2
550,NOPUCID COMPUESTO LOCIÓN CAPILAR,85601,83
551,NOPUCID COMPUESTO SHAMPOO,60865,47
552,FLAPEX SUSPENSIÓN ORAL PARA GOTAS 4%,40091,9
553,FLAPEX COMPRIMIDOS 40 mg,23530,88
554,FLUICOR ASA 81 CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 81 mg,77387,79
555,FLUICOR ASA 325 CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 325 mg,59270,69
556,SALES DE REHIDRATACIÓN POLVO PARA SOLUCIÓN ORAL,69371,90
557,ACAMOL INFANTIL SUPOSITORIOS 125 mg,19626,64
558,NOSCAPINA COMPRIMIDOS 20 mg,19801,48
559,KITADOL INFANTIL SABOR UVA COMPRIMIDOS MASTICABLES 80 mg,46558,13
560,KITADOL INFANTIL SABOR UVA COMPRIMIDOS MASTICABLES 160 mg,85738,2
561,"TAPSIN  POLVO PARA SOLUCIÓN ORAL, EN SOBRES",71586,70
562,"VITAMINAS A, D Y E CREMA DÉRMICA",49862,37
563,"THERALER INFANTIL LÁMINAS ORALES 12,5 mg",33188,41
564,THERALER ADULTOS LÁMINAS ORALES 25 mg,17109,22
565,MENTHOLATUM UNGÜENTO TÓPICO,90072,77
566,FLUIBRON INFANTIL JARABE 15 mg/5 mL,34219,30
567,FLUIBRON ADULTO JARABE  30 mg/ 5 mL,79771,62
568,ENIFLEX DÚO 750 COMPRIMIDOS,38589,98
569,WINASORB SABOR MIEL-LIMÓN JARABE 250 mg/5 mL,62284,94
570,WINASORB SABOR MENTA JARABE 250 mg/5 mL,66971,6
571,ACTRON 200 CÁPSULAS BLANDAS 200 mg,16833,90
572,GESIDOL COMPRIMIDOS 500 mg,76451,5
573,ENO GUARANÁ SAL DE FRUTA,79954,42
574,ENO NARANJA SAL DE FRUTA,81383,99
575,WINASORB JUNIOR COMPRIMIDOS MASTICABLES 160 mg,75259,35
576,NOSCAPINA CLORHIDRATO/DIBUNATO SÓDICO SOLUCIÓN ORAL PARA GOTAS,54758,59
577,"KETOPROFENO GEL TÓPICO 2,5%",78138,100
578,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,40238,77
579,TAPSIN SIN CAFEÍNA CON CLORFENAMINA MALEATO NOCTURNO COMPRIMIDOS RECUBIERTOS,32938,22
580,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,88845,82
581,FINARTRIT FORTE COMPRIMIDOS,40038,4
582,ADFEN CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 200 mg,79196,80
583,IBUPIRAC LC CÁPSULAS BLANDAS 200 mg,46384,73
584,CAFRENAL COMPRIMIDOS,92196,41
585,AGUA PARA INYECTABLES,35190,87
586,SOFCAIN CREMA TÓPICA,95075,24
587,ESANFRIX CREMA TÓPICA,89569,11
588,ENIFLEX DÚO FORTE GRANULADO PARA SOLUCIÓN ORAL,58441,41
589,NIOFEN GEL TÓPICO 5%.,75789,72
590,"DETTOXDETTOL ANTISÉPTICO SPRAY TÓPICO 0,198%",56283,19
591,PANCRIT COMPUESTO SOLUCIÓN PARA COLUTORIO,86105,80
592,OPTIVE SOLUCIÓN OFTÁLMICA,28161,50
593,D' NENITOS POMADA DÉRMICA,58684,88
594,HIPERFLEX K FORTE COMPRIMIDOS,95774,19
595,HIPERFLEX K COMPRIMIDOS,45019,5
596,NUROFEN INFANTIL SABOR NARANJA SUSPENSIÓN ORAL 100 mg/ 5 mL,11002,48
597,NUROFEN INFANTIL SABOR FRESA SUSPENSIÓN ORAL 100 mg /5 mL,98611,19
598,MENTHOLATUM PAIN PATCH SIN ALCANFOR PARCHE 5%,67812,79
599,TALCO ANTIMICÓTICO POLVO DÉRMICO,44846,84
600,COTIBIN INFANTIL COMPRIMIDOS MASTICABLES 160 mg,47164,85
601,COTIBIN INFANTIL JARABE 160 mg/mL,91610,85
602,PARACETAMOL COMPRIMIDOS 500 mg,88657,68
603,CARISTOP SENSITIVE PASTA DENTAL,65539,7
604,"DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%",58796,16
605,ESANTERM FORTE SUSPENSIÓN ORAL 200 mg/5 mL,46257,7
606,"ATAC POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL, CON SOLVENTE",67771,27
607,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,72779,72
608,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,51011,44
609,PANTOTOS JARABE 15 mg/5 mL,44328,15
610,PANTOTOS JARABE 30 mg/5 mL,60605,92
611,FLUICOR ASA 81 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 81 mg,64674,35
612,IBU - 200  SUSPENSIÓN ORAL  200 mg/5 mL,64311,29
613,SIGERMEL SOLUCIÓN TÓPICA,91825,67
614,PANCRIT SABOR MIEL-LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL,36180,72
615,"METICEL OFTENO SOLUCIÓN OFTÁLMICA 0,5%",66544,5
616,DOMEVOL CÁPSULAS 10 mg,15036,26
617,"LAGSOLETS SOLUCIÓN OFTÁLMICA 0,12 mg/mL",15910,28
618,HIDRÓXIDO DE ALUMINIO SUSPENSIÓN ORAL 6%,42693,94
619,LEPEX SOLUCIÓN OFTÁLMICA 5%,45510,86
620,BROPAVOL  JARABE 8 mg/5 mL,28152,56
621,ADFEN SUSPENSIÓN ORAL 100 mg/ 5 mL,23234,25
622,ADFEN FORTE SUSPENSIÓN ORAL 200 mg/5 mL,52213,58
623,IBUPROFEN SUSPENSIÓN ORAL 100 mg/5 mL,42966,56
624,LEVUCAL D FORTE CÁPSULAS,87128,76
625,IBUCON SUSPENSIÓN ORAL 100 mg/5 mL,50365,89
626,"NAZIL OFTENO SOLUCIÓN OFTÁLMICA 0,1 %",81160,41
627,PANADOL JUNIOR SUSPENSIÓN ORAL 250 mg/5 mL,49620,33
628,"ÁCIDO ACETILSALICÍLICO, CAFEÍNA Y CINAMEDRINA COMPRIMIDOS",98979,26
629,HASSAPIRIN FORTE COMPRIMIDOS 650 mg,57620,86
630,ANACIN MAX COMPRIMIDOS RECUBIERTOS,26697,17
631,"DICLAC GEL TÓPICO 1,16 %",64801,22
632,IBUCON COMPRIMIDOS RECUBIERTOS 200 mg,58652,54
633,DOMPERIDONA CÁPSULAS 10 mg,83423,36
634,LIMPID SHAMPOO PEDICULICIDA,70446,68
635,PARACETAMOL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,58982,52
636,PARACETAMOL COMPRIMIDOS 500 mg,25811,43
637,GAVISCON ADVANCE SUSPENSIÓN ORAL,67545,85
638,DOMPERIDONA COMPRIMIDOS 10 mg,89987,50
639,CARDIOASPIRINA 100 EC COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,76035,9
640,GAVISCON ADVANCE COMPRIMIDOS MASTICABLES,18869,23
641,GAVISCON DOBLE ACCIÓN COMPRIMIDOS MASTICABLES,38029,50
642,GAVISCON DOBLE ACCIÓN SUSPENSIÓN ORAL,95509,93
643,IBUPIRAC COMPRIMIDOS RECUBIERTOS 200 mg,39686,58
644,GAVISCON LIMÓN 250 COMPRIMIDOS MASTICABLES,55584,48
645,GAVISCON MENTA 250 COMPRIMIDOS MASTICABLES,68449,79
646,IBUPROFENO SUSPENSIÓN ORAL PEDIÁTRICA 100 mg/5 mL,43661,61
647,IBUPROFENO FORTE SUSPENSIÓN ORAL PEDIÁTRICA 200 mg / 5 mL,26802,76
648,"LATLAS GEL OFTÁLMICO 0,25%",66955,86
649,PANCRIT COMPRIMIDOS DE DISOLUCIÓN BUCAL,49231,79
650,"CÁPSICO PARCHE DÉRMICO 1,86%",63161,90
651,CONDROX COMPRIMIDOS RECUBIERTOS,68692,78
652,GENIOL COMPRIMIDOS 500 mg,81279,92
653,MAALOX PLUS LIMA-LIMÓN COMPRIMIDOS MASTICABLES,69250,35
654,OXY 5 COLOR PIEL GEL DÉRMICO 5 %,87054,5
655,OXY 5  TRANSPARENTE GEL DÉRMICO 5 %,60441,100
656,KITADOL INFANTIL SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,38211,11
657,NUROFEN COMPRIMIDOS RECUBIERTOS 200 mg,11592,27
658,KITADOL 1000 COMPRIMIDOS 1 g,34643,70
659,XUMADOL COMPRIMIDOS 1 g,57439,12
660,"BIOTRIC JABÓN LÍQUIDO AL 0,5%",78497,47
661,PARACETAMOL COMPRIMIDOS 500 mg,20502,48
662,PARACETAMOL COMPRIMIDOS MASTICABLES 80 mg,12055,91
663,SYSTANE ULTRA SOLUCIÓN OFTÁLMICA,17733,97
664,HASSAPIRIN CAF COMPRIMIDOS,43586,49
665,NEFERSIL GEL TÓPICO 5%,94830,17
666,PARECETAMOL COMPRIMIDOS 500 mg,84168,37
667,MINTALUB CREMA DÉRMICA,48603,49
668,GENIOL CAF COMPRIMIDOS RECUBIERTOS,30826,77
669,FLAMADOL COMPRIMIDOS RECUBIERTOS 100 mg,77044,82
670,ALGIASOL FORTE SUSPENSIÓN ORAL 200 mg/5 mL,22201,56
671,ANACIN COMPRIMIDOS RECUBIERTOS,55866,11
672,COLPURIL PLUS CHAMPÚ,34099,93
673,ENDUX UD EMULSIÓN OFTÁLMICA,25816,68
674,POLICARBOFILA CÁPSULAS BLANDAS 500 mg,60657,60
675,MEDISEPT SOLUCIÓN,14775,36
676,ENDUX EMULSIÓN OFTÁLMICA,86844,51
677,ACIFIN COMPRIMIDOS MASTICABLES,64525,20
678,SIMETICONA SUSPENSIÓN PARA GOTAS ORALES 4%,54492,28
679,GINODOL COMPRIMIDOS RECUBIERTOS 275 mg,62156,47
680,PANADOL ADVANCE COMPRIMIDOS RECUBIERTOS  500 mg,44259,66
681,PARACETAMOL COMPRIMIDOS 500 mg,87622,50
682,POLICARBOFILA CÁPSULAS BLANDAS 500 mg,12399,51
683,FASAGLOS PLUS POMADA,90364,27
684,NUROFEN EXPRESS COMPRIMIDOS RECUBIERTOS 200 mg,94111,67
685,ALGIAFIN COMPRIMIDOS 500 mg,31752,84
686,MYLANTA ROLLTABS SABOR MENTA COMPRIMIDOS MASTICABLES,84942,1
687,MYLANTA ROLLTABS SABOR CEREZA COMPRIMIDOS MASTICABLES,65075,12
688,GENIOL COMPRIMIDOS MASTICABLES 160 mg,91104,40
689,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,58757,17
690,ALGIASOL 200 COMPRIMIDOS RECUBIERTOS 200 mg,76853,45
691,OPTIVE UD SOLUCIÓN OFTÁLMICA,30499,53
692,LEVUCAL D CÁPSULAS,18016,20
693,DOLGEX SUSPENSIÓN ORAL 100 mg/ 5 mL,13243,25
694,DOLGEX FORTE SUSPENSIÓN ORAL 200 mg/5 mL,51323,25
695,FRESHMEL COMPRIMIDOS 5 mg,87610,16
696,"LÁGRIMAS ARTIFICIALES SOLUCIÓN OFTÁLMICA 0,3%",77933,82
697,PARACETAMOL PEDIÁTRICO SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,78276,25
698,IBUPROFENO FORTE SUSPENSIÓN ORAL 200 mg/5 mL,10323,32
699,PARACETAMOL JARABE 160 mg/5 mL,43241,85
700,KITADOL INFANTIL JARABE 160 mg/5 mL,75814,28
701,DICHLOREXAN SOLUCIÓN TÓPICA  2%,28926,29
702,REPELEX NF AEROSOL,29084,64
703,DON DYNE JABÓN LÍQUIDO 8%,70507,100
704,IBUPROFENO COMPRIMIDOS RECUBIERTOS 200 mg,74361,22
705,PYRIPED CREMA DÉRMICA 5 %,64916,78
706,DOMPERIDONA CÁPSULAS 10 mg,84749,69
707,DOCIVIN CÁPSULAS 10 mg,33868,100
708,AGUA PARA INYECTABLES,68707,1
709,FRAGIDERM UNGÜENTO DÉRMICO,20382,76
710,SALES PARA REHIDRATACIÓN 60  POLVO PARA SOLUCIÓN ORAL,58918,89
711,SALES PARA REHIDRATACIÓN 90  POLVO PARA SOLUCIÓN ORAL,65431,30
712,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,16771,85
713,ALCOHOL GEL  70%,10927,67
714,CHLOROHEX SOLUCIÓN TÓPICA 2%,61293,89
715,CHLOROHEX JABÓN CREMOSO 2%,82538,53
716,IBUPROFENO SUSPENSIÓN ORAL 100 mg / 5 mL,27332,27
717,IBUPROFENO SUSPENSIÓN ORAL 200 mg / 5 mL,75547,32
718,FOCUS 500 COMPRIMIDOS  500 mg,36961,2
719,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,20583,73
720,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,55796,95
721,CHLOROHEX TINTURA SOLUCIÓN TÓPICA,73753,6
722,IBUPROFENO SUSPENSIÓN ORAL 100 mg / 5 mL,83014,79
723,"VISIONAL SOLUCIÓN OFTÁLMICA 0,05%",49122,14
724,"STERYLDERME JABÓN LÍQUIDO SIN PERFUME 0,5%",78495,100
725,"STERYLDERME JABÓN LÍQUIDO CON PERFUME 0,5%",56297,98
726,IBUPROFENO  SUSPENSIÓN 100 mg / 5 mL,11096,2
727,PARACETAMOL COMPRIMIDOS 500 mg,33811,10
728,ÁCIDO ASCÓRBICO POLVO EFERVESCENTE EN SOBRES 2.000 mg,99891,86
729,ÁCIDO ASCÓRBICO POLVO EFERVESCENTE EN SOBRES 1.000 mg,41240,59
730,PARACETAMOL COMPRIMIDOS 500 mg,61299,89
731,M.D. ZERO-DOL COMPRIMIDOS 500 mg,91482,46
732,M.D. ZERO-DOL INFANTIL COMPRIMIDOS MASTICABLES 160 mg,73506,2
733,GESIDOL COMPRIMIDOS MASTICABLES 160 mg,15820,7
734,PARACETAMOL COMPRIMIDOS  500 mg,79329,51
735,ACAMOL COMPRIMIDOS  500 mg,80755,96
736,PARACETAMOL COMPRIMIDOS 1 g,96644,65
737,PANAGESIC COMPRIMIDOS 1 g,18534,10
738,PARACETAMOL COMPRIMIDOS 500 mg,93309,98
739,"ULPEPTIN COMPRIMIDOS MASTICABLES 262,4 mg",35989,4
740,DOMPERIDONA COMPRIMIDOS 10 mg,80969,53
741,SALES DE REHIDRATACIÓN ORAL 75,25195,62
742,NUROFEN EXPRESS CÁPSULAS BLANDAS 200 mg,98734,88
743,PYRIPED CÁPSULAS BLANDAS 200 mg,48071,41
744,AGUA PARA INYECTABLES,95893,86
745,FINACAL PEDIÁTRICO SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,67314,51
746,IBUPROFENO CÁPSULAS BLANDAS 200 mg,60154,59
747,IBU-2 CÁPSULAS BLANDAS 200 mg,61589,1
748,DOLGEX-L COMPRIMIDOS RECUBIERTOS 200 mg,79381,40
749,IBUFLAM SUSPENSIÓN ORAL 100 mg/5 mL,31086,67
750,ELECTRAL 75 POLVO PARA SOLUCIÓN ORAL EN SOBRES,65922,19
