ID_MEDICAMENTO,DESCRIPCION,Laboratorio,Condicion_Venta,PRECIO_UNITARIO,FechaCompra,FechaCaducidad,Porcentaje_Efectividad,INVENTARIO
475,FINARTRIT POLVO PARA SOLUCIÓN ORAL,LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.,Directa, $27.328,24-11-2021,16-04-2027,95%,64
476,PERFUNGOL POLVO DÉRMICO,LABORATORIO BAGÓ DE CHILE S.A.,Directa, $81.573,19-02-2020,10-04-2027,80%,89
477,METAMIZOL SÓDICO MONOHIDRATO COMPRIMIDOS 300 mg,LABORATORIO MAVER S.A.,Directa, $70.219,19-02-2021,06-12-2025,99%,90
478,CARBOTOS PEDIÁTRICO JARABE 100 mg/5 mL.,FARMACEUTICA ESAN LTDA,Directa, $43.294,07-10-2021,18-08-2026,90%,42
479,AUCUSIK POMADA,LABORATORIOS ANDRÓMACO S.A.,Directa, $57.375,05-07-2021,15-11-2024,95%,47
480,"FLAMESAN GEL TÓPICO 1,16%",FARMACEUTICA ESAN LTDA,Directa, $35.477,16-04-2022,13-05-2026,88%,12
481,DURAPREP SOLUCIÓN TÓPICA,3M CHILE S.A.,Directa, $18.241,07-05-2021,16-04-2027,93%,91
482,CALIRAL CÁPSULAS BLANDAS 1100 mg,MEDIPHARM LTDA.,Directa, $67.140,21-05-2022,10-04-2027,84%,12
483,FLUICOR ASA 81 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 81 mg,LABORATORIO MAVER S.A.,Directa, $73.075,11-04-2020,06-12-2025,82%,11
484,ALCOHOL ETÍLICO SOLUCIÓN TÓPICA 61%,3M CHILE S.A.,Directa, $56.845,14-03-2021,18-08-2026,99%,33
485,"LÁGRIMAS ARTIFICIALES SOLUCIÓN OFTÁLMICA 1,4%",BESTPHARMA S.A.,Directa, $38.495,12-07-2020,15-11-2024,90%,74
486,CLORHEXIDINA GLUCONATO 1% - ALCOHOL ETÍLICO 61% SOLUCIÓN TÓPICA,3M CHILE S.A.,Directa, $71.137,22-12-2020,13-05-2026,98%,88
487,EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POLVO DÉRMICO,LABORATORIOS ANDRÓMACO S.A.,Directa, $15.847,09-03-2021,16-04-2027,89%,92
488,EXPERT-FITTIGEA DOBLE ACCIÓN ANTIMICÓTICO Y DESODORANTE POMADA DÉRMICA,LABORATORIOS ANDRÓMACO S.A.,Directa, $44.033,01-04-2020,10-04-2027,88%,0
489,HIPOGLOS POMADA,LABORATORIOS ANDRÓMACO S.A.,Directa, $59.574,12-12-2019,06-12-2025,93%,55
490,TRIVITANA D.M. PERLAS CÁPSULAS BLANDAS,MERCK S.A.,Directa, $41.741,17-08-2021,18-08-2026,100%,96
491,PARACETAMOL COMPRIMIDOS 500 mg,OPKO CHILE S.A.,Directa, $81.236,01-08-2021,15-11-2024,85%,56
492,ESANTERM SUSPENSIÓN ORAL 100 mg/ 5 mL,FARMACEUTICA ESAN LTDA,Directa, $13.624,23-03-2021,13-05-2026,87%,98
493,AGUA ESTÉRIL PARA INYECTABLES,OPKO CHILE S.A.,Directa, $28.178,27-05-2022,16-04-2027,83%,92
494,PANCRIT COMPRIMIDOS DE DISOLUCIÓN BUCAL,LABORATORIOS ANDRÓMACO S.A.,Directa, $17.373,26-11-2021,10-04-2027,84%,28
495,TRIOX NF COMPRIMIDOS RECUBIERTOS 275 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $78.456,04-02-2020,06-12-2025,89%,41
496,MINTA-C COMPRIMIDOS MASTICABLES 500 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa, $68.098,13-06-2020,18-08-2026,90%,41
497,FASAMOL ANTIGRIPAL CÁPSULAS,LABORATORIOS FASA S.A.,Directa, $75.725,06-01-2022,15-11-2024,87%,37
498,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,MINTLAB  CO. S.A.,Directa, $78.650,07-12-2021,13-05-2026,81%,24
499,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa, $36.173,16-01-2020,16-04-2027,93%,86
500,LOMPRAX COMPRIMIDOS MASTICABLES 40 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa, $29.202,05-04-2021,10-04-2027,85%,39
501,DOMPERIDONA COMPRIMIDOS 10 mg,MINTLAB  CO. S.A.,Directa, $86.925,13-11-2021,06-12-2025,80%,6
502,TAPSIN UP POLVO EFERVESCENTE PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $61.457,16-10-2021,18-08-2026,99%,48
503,PARACETAMOL COMPRIMIDOS 500 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $21.064,08-01-2022,15-11-2024,97%,30
504,TAPSIN COMPUESTO SABOR A MIEL-LIMÓN DE PICA POLVO PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $86.564,24-01-2022,13-05-2026,92%,70
505,TAPSIN COMPUESTO CON CLORFENAMINA MALEATO CITRUS POLVO PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $83.611,27-03-2022,16-04-2027,83%,56
506,TAPSIN COMPUESTO CITRUS POLVO PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $31.984,25-03-2021,10-04-2027,86%,99
507,TAPSIN COMPUESTO CON CLORFENAMINA MALEATO SABOR A MIEL-LIMÓN DE PICA POLVO PARA SOLUCIÓN ORAL EN SOBRES,LABORATORIO MAVER S.A.,Directa, $87.347,10-01-2022,06-12-2025,86%,56
508,"GERMOSEPT SOLUCIÓN TÓPICA 0,175%",MEDIPHARM LTDA.,Directa, $13.348,03-07-2021,18-08-2026,89%,72
509,FLUICOR ASA 325 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 325 mg,LABORATORIO MAVER S.A.,Directa, $35.046,01-03-2022,15-11-2024,95%,91
510,DISFRUTA TROPICAL SAL EFERVESCENTE EN SOBRES,LABORATORIO MAVER S.A.,Directa, $61.333,09-04-2022,13-05-2026,98%,8
511,GASORBOL PLUS SUSPENSIÓN,LABORATORIOS ANDRÓMACO S.A.,Directa, $19.616,10-03-2021,16-04-2027,86%,28
512,DISFRUTA CITRUS SAL EFERVESCENTE EN SOBRES,LABORATORIO MAVER S.A.,Directa, $35.549,08-12-2020,10-04-2027,80%,9
513,HEADOL PEDIÁTRICO SOLUCIÓN ORAL PARA GOTAS 100 mg/mL,LABORATORIOS FASA S.A.,Directa, $16.289,27-03-2022,06-12-2025,93%,77
514,HEADOL COMPRIMIDOS 500 mg,LABORATORIOS FASA S.A.,Directa, $68.368,14-01-2022,18-08-2026,95%,52
515,PANADOL HOT REM POLVO PARA SOLUCIÓN ORAL EN SOBRES,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $27.984,24-07-2021,15-11-2024,97%,82
516,GASORBOL PLUS COMPRIMIDOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $28.730,06-02-2020,13-05-2026,86%,43
517,ALUMINIO HIDRÓXIDO GEL COMPRIMIDOS MASTICABLES 500 mg,LABORATORIO MAVER S.A.,Directa, $19.108,09-12-2020,16-04-2027,80%,21
518,PETROCEL SHAMPOO,LABORATORIOS FASA S.A.,Directa, $22.944,11-05-2020,10-04-2027,83%,58
519,UNGÜENTO TÓPICO MENTOLADO,LABORATORIOS FASA S.A.,Directa, $43.607,24-07-2021,06-12-2025,88%,91
520,VITAMINA C COMPRIMIDOS MASTICABLES 100 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $75.849,07-03-2021,18-08-2026,97%,32
521,"CLORURO DE SODIO SOLUCIÓN NASAL 0,9%",Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa, $55.322,13-08-2021,15-11-2024,80%,22
522,TAPSIN COMPUESTO DN PLUS COMPRIMIDOS RECUBIERTOS,LABORATORIO MAVER S.A.,Directa, $17.716,25-10-2021,13-05-2026,97%,85
523,DIMETICONA SUSPENSIÓN PARA GOTAS ORALES 4%,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),Directa, $24.391,29-12-2019,16-04-2027,83%,20
524,DIMETICONA COMPRIMIDOS MASTICABLES 40 mg,MINTLAB  CO. S.A.,Directa, $72.016,10-07-2020,10-04-2027,90%,91
525,"TRICLOSÁN JABÓN LÍQUIDO 0,5%",DIFEM LABORATORIOS S.A.,Directa, $40.325,23-02-2021,06-12-2025,86%,58
526,PARACETAMOL COMPRIMIDOS 500 mg,MINTLAB CO. S.A.,Directa, $65.193,26-12-2019,18-08-2026,92%,51
527,TOL TOTAL ACTIVE COMPRIMIDOS RECUBIERTOS,LABORATORIOS SAVAL S.A.,Directa, $74.753,14-05-2021,15-11-2024,96%,87
528,KANK-A GEL BUCAL 20% SOFTBRUSH,LABORATORIOS RIDER LTDA.,Directa, $46.836,29-04-2022,13-05-2026,87%,57
529,ESANFLU INFANTIL JARABE 15 mg/5 mL,FARMACEUTICA ESAN LTDA,Directa, $24.963,07-07-2020,16-04-2027,90%,19
530,ESANFLU ADULTO JARABE 30 mg/5 mL.,FARMACEUTICA ESAN LTDA,Directa, $77.764,27-04-2022,10-04-2027,100%,3
531,CLARAGINE SABOR MIEL- LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL,LABORATORIOS PRATER S.A.,Directa, $89.981,10-02-2020,06-12-2025,84%,75
532,CARVAS CÁPSULAS CON GRÁNULOS CON RECUBRIMIENTO ENTÉRICO 100 mg,LABORATORIO CHILE S.A.,Directa, $32.232,07-12-2020,18-08-2026,80%,54
533,POVIN POMADA TÓPICA,LABORATORIOS ANDRÓMACO S.A.,Directa, $16.802,19-03-2021,15-11-2024,94%,18
534,COMBIZIM COMPOSITUM GRAGEAS,LABORATORIOS SILESIA S.A.,Directa, $61.916,30-08-2020,13-05-2026,91%,47
535,"MERPAL SOLUCIÓN TÓPICA SPRAY 1,16%",LABORATORIOS PRATER S.A.,Directa, $54.889,17-12-2021,16-04-2027,95%,5
536,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,EXPORTADORA Y COMERCIALIZADORA DE PRODUCTOS FARMACÉUTICOS  LTDA.,Directa, $73.416,28-10-2021,10-04-2027,92%,95
537,COTIBIN PLUS COMPRIMIDOS,LABORATORIOS ANDRÓMACO S.A.,Directa, $17.225,09-12-2019,06-12-2025,84%,36
538,CALCIMAX COMPRIMIDOS 200 mg,GADOR LTDA.,Directa, $63.877,08-04-2021,18-08-2026,88%,16
539,CALCIMAX FORTE COMPRIMIDOS 400 mg,GADOR LTDA.,Directa, $58.067,15-05-2020,15-11-2024,92%,65
540,FLUMED JARABE 8 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,Directa, $82.943,29-10-2021,13-05-2026,98%,18
541,VERRUFILM SOLUCIÓN TÓPICA,LABORATORIOS D & M PHARMA LTDA.,Directa, $38.696,06-04-2022,16-04-2027,88%,80
542,DOLO-ESAN COMPRIMIDOS 500 mg,FARMACEUTICA ESAN LTDA,Directa, $42.441,22-07-2020,10-04-2027,97%,15
543,CALCIMAX D3 400 COMPRIMIDOS,GADOR LTDA.,Directa, $87.191,22-11-2020,06-12-2025,90%,66
544,"OCTILIA SOLUCIÓN OFTÁLMICA 0,05%",LABORATORIO PASTEUR S.A.,Directa, $72.557,07-12-2020,18-08-2026,92%,87
545,CAPRIMIDA CÁPSULAS 500 mg,LABORATORIOS RECALCINE S.A.,Directa, $36.897,23-09-2021,15-11-2024,98%,19
546,TAPSIN COMPUESTO NOCHE PLUS COMPRIMIDOS RECUBIERTOS,LABORATORIO MAVER S.A.,Directa, $15.745,08-01-2020,13-05-2026,85%,57
547,TAPSIN COMPUESTO DÍA PLUS COMPRIMIDOS RECUBIERTOS,LABORATORIO MAVER S.A.,Directa, $67.510,22-08-2020,16-04-2027,84%,55
548,"KEPRODOL GEL TÓPICO 2,5%",LABORATORIOS ANDRÓMACO S.A.,Directa, $24.781,21-09-2021,10-04-2027,80%,89
549,"NP-27 SOLUCIÓN TÓPICA 8,71%",DROGUERÍA FARMOQUÍMICA DEL PACÍFICO  LTDA.,Directa, $15.354,22-10-2020,06-12-2025,97%,81
550,NOPUCID COMPUESTO LOCIÓN CAPILAR,LABORATORIOS RECALCINE S.A.,Directa, $52.287,06-10-2021,18-08-2026,98%,86
551,NOPUCID COMPUESTO SHAMPOO,LABORATORIOS RECALCINE S.A.,Directa, $74.741,24-01-2022,16-04-2027,98%,66
552,FLAPEX SUSPENSIÓN ORAL PARA GOTAS 4%,LABORATORIOS SILESIA S.A.,Directa, $85.989,10-03-2020,10-04-2027,85%,6
553,FLAPEX COMPRIMIDOS 40 mg,LABORATORIOS SILESIA S.A.,Directa, $75.566,19-08-2020,06-12-2025,94%,47
554,FLUICOR ASA 81 CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 81 mg,LABORATORIO MAVER S.A.,Directa, $32.478,25-09-2021,18-08-2026,100%,44
555,FLUICOR ASA 325 CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 325 mg,LABORATORIO MAVER S.A.,Directa, $75.247,08-06-2021,15-11-2024,91%,36
556,SALES DE REHIDRATACIÓN POLVO PARA SOLUCIÓN ORAL,FARMACÉUTICA MED - CELL  LTDA.,Directa, $34.949,15-12-2020,13-05-2026,93%,43
557,ACAMOL INFANTIL SUPOSITORIOS 125 mg,LABORATORIOS  EUROMED CHILE S.A.,Directa, $13.490,10-12-2020,16-04-2027,83%,94
558,NOSCAPINA COMPRIMIDOS 20 mg,LABORATORIO MAVER S.A.,Directa, $35.559,20-05-2021,10-04-2027,96%,93
559,KITADOL INFANTIL SABOR UVA COMPRIMIDOS MASTICABLES 80 mg,LABORATORIO CHILE S.A.,Directa, $80.546,09-08-2021,06-12-2025,91%,34
560,KITADOL INFANTIL SABOR UVA COMPRIMIDOS MASTICABLES 160 mg,LABORATORIO CHILE S.A.,Directa, $25.619,22-02-2021,18-08-2026,84%,26
561,"TAPSIN  POLVO PARA SOLUCIÓN ORAL, EN SOBRES",LABORATORIO MAVER S.A.,Directa, $43.717,11-07-2021,15-11-2024,81%,58
562,"VITAMINAS A, D Y E CREMA DÉRMICA",LABORATORIOS SILESIA S.A.,Directa, $27.696,29-01-2020,13-05-2026,88%,0
563,"THERALER INFANTIL LÁMINAS ORALES 12,5 mg",NOVARTIS CHILE S.A.,Directa, $49.790,26-10-2021,16-04-2027,84%,1
564,THERALER ADULTOS LÁMINAS ORALES 25 mg,NOVARTIS CHILE S.A.,Directa, $20.195,26-12-2021,10-04-2027,90%,15
565,MENTHOLATUM UNGÜENTO TÓPICO,DROGUERIA HOFMANN S.A.C.,Directa, $45.461,13-09-2020,06-12-2025,87%,93
566,FLUIBRON INFANTIL JARABE 15 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,DIRECTA, $80.623,12-05-2022,18-08-2026,80%,32
567,FLUIBRON ADULTO JARABE  30 mg/ 5 mL,LABORATORIOS ANDRÓMACO S.A.,DIRECTA, $73.038,29-01-2021,15-11-2024,95%,83
568,ENIFLEX DÚO 750 COMPRIMIDOS,LABORATORIO BAGÓ DE CHILE S.A.,Directa, $78.231,08-11-2021,13-05-2026,86%,58
569,WINASORB SABOR MIEL-LIMÓN JARABE 250 mg/5 mL,LABORATORIOS LAFI LTDA.,Directa, $49.959,02-08-2020,16-04-2027,88%,11
570,WINASORB SABOR MENTA JARABE 250 mg/5 mL,LABORATORIOS LAFI LTDA.,Directa, $36.171,31-07-2021,10-04-2027,88%,81
571,ACTRON 200 CÁPSULAS BLANDAS 200 mg,BAYER S.A.,Directa, $39.753,04-09-2021,06-12-2025,87%,61
572,GESIDOL COMPRIMIDOS 500 mg,MEDIPHARM LTDA.,Directa, $69.868,23-02-2020,18-08-2026,84%,90
573,ENO GUARANÁ SAL DE FRUTA,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $86.718,06-05-2020,15-11-2024,89%,46
574,ENO NARANJA SAL DE FRUTA,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $30.598,24-06-2021,13-05-2026,81%,15
575,WINASORB JUNIOR COMPRIMIDOS MASTICABLES 160 mg,LABORATORIOS LAFI LTDA.,Directa, $61.131,09-06-2020,16-04-2027,82%,85
576,NOSCAPINA CLORHIDRATO/DIBUNATO SÓDICO SOLUCIÓN ORAL PARA GOTAS,LABORATORIOS SILESIA S.A.,Directa, $76.021,14-07-2021,10-04-2027,99%,31
577,"KETOPROFENO GEL TÓPICO 2,5%",EXPORTADORA Y COMERCIALIZADORA DE PRODUCTOS FARMACÉUTICOS  LTDA.,Directa, $16.453,11-03-2022,06-12-2025,90%,3
578,BROMHEXINA CLORHIDRATO JARABE 4 mg/5 mL,BESTPHARMA S.A.,Directa, $43.571,15-07-2020,18-08-2026,91%,99
579,TAPSIN SIN CAFEÍNA CON CLORFENAMINA MALEATO NOCTURNO COMPRIMIDOS RECUBIERTOS,LABORATORIO MAVER S.A.,Directa, $51.459,06-04-2022,15-11-2024,100%,80
580,TAPSIN PURO SIN CAFEÍNA COMPRIMIDOS 500 mg,LABORATORIO MAVER S.A.,Directa, $45.588,02-12-2021,13-05-2026,87%,16
581,FINARTRIT FORTE COMPRIMIDOS,LABORATORIOS GARDEN HOUSE FARMACÉUTICA S.A.,Directa, $81.472,04-01-2021,16-04-2027,100%,97
582,ADFEN CÁPSULAS CON MICROGRÁNULOS CON RECUBRIMIENTO ENTÉRICO 200 mg,QUÍMICA Y PUBLICIDAD ALFER LTDA.,Directa, $40.250,24-03-2022,10-04-2027,85%,77
583,IBUPIRAC LC CÁPSULAS BLANDAS 200 mg,CHEMOPHARMA  S.A.,Directa, $42.901,13-01-2021,06-12-2025,94%,0
584,CAFRENAL COMPRIMIDOS,LABORATORIOS RECALCINE S.A.,Directa, $79.557,14-08-2020,18-08-2026,98%,58
585,AGUA PARA INYECTABLES,LABORATORIO BIOSANO S.A.,Directa, $39.595,22-07-2021,15-11-2024,80%,38
586,SOFCAIN CREMA TÓPICA,FARMACEUTICA ESAN LTDA,Directa, $10.879,09-10-2020,13-05-2026,87%,31
587,ESANFRIX CREMA TÓPICA,FARMACEUTICA ESAN LTDA,Directa, $89.698,06-01-2022,16-04-2027,98%,48
588,ENIFLEX DÚO FORTE GRANULADO PARA SOLUCIÓN ORAL,LABORATORIO BAGÓ DE CHILE S.A.,DIRECTA, $44.118,14-12-2020,10-04-2027,94%,87
589,NIOFEN GEL TÓPICO 5%.,LABORATORIOS RECALCINE S.A.,Directa, $35.663,27-03-2020,06-12-2025,80%,17
590,"DETTOXDETTOL ANTISÉPTICO SPRAY TÓPICO 0,198%",RECKITT BENCKISER CHILE S.A.,Directa, $80.831,26-02-2021,18-08-2026,86%,98
591,PANCRIT COMPUESTO SOLUCIÓN PARA COLUTORIO,LABORATORIOS ANDRÓMACO S.A.,Directa, $11.939,24-05-2022,15-11-2024,82%,44
592,OPTIVE SOLUCIÓN OFTÁLMICA,ALLERGAN LABORATORIOS LTDA.,Directa, $39.687,10-06-2020,13-05-2026,88%,1
593,D' NENITOS POMADA DÉRMICA,MEDIPHARM LTDA.,Directa, $45.021,14-03-2021,16-04-2027,92%,13
594,HIPERFLEX K FORTE COMPRIMIDOS,LABORATORIOS LAFI LTDA.,Directa, $65.057,06-12-2021,10-04-2027,87%,53
595,HIPERFLEX K COMPRIMIDOS,LABORATORIOS LAFI LTDA.,Directa, $15.698,09-04-2020,06-12-2025,96%,1
596,NUROFEN INFANTIL SABOR NARANJA SUSPENSIÓN ORAL 100 mg/ 5 mL,RECKITT BENCKISER CHILE S.A.,Directa, $49.970,13-02-2020,18-08-2026,81%,17
597,NUROFEN INFANTIL SABOR FRESA SUSPENSIÓN ORAL 100 mg /5 mL,RECKITT BENCKISER CHILE S.A.,Directa, $76.272,10-07-2021,15-11-2024,83%,51
598,MENTHOLATUM PAIN PATCH SIN ALCANFOR PARCHE 5%,DROGUERIA HOFMANN S.A.C.,DIRECTA, $14.437,21-09-2021,13-05-2026,86%,30
599,TALCO ANTIMICÓTICO POLVO DÉRMICO,COSMÉTICA DAVIS S.A.,Directa, $45.455,25-10-2021,16-04-2027,89%,56
600,COTIBIN INFANTIL COMPRIMIDOS MASTICABLES 160 mg,LABORATORIOS ANDRÓMACO S.A.,Directa, $25.002,03-12-2019,10-04-2027,90%,48
601,COTIBIN INFANTIL JARABE 160 mg/mL,LABORATORIOS ANDRÓMACO S.A.,Directa, $26.001,08-12-2019,06-12-2025,95%,1
602,PARACETAMOL COMPRIMIDOS 500 mg,BESTPHARMA S.A.,Directa, $47.488,15-11-2020,18-08-2026,88%,36
603,CARISTOP SENSITIVE PASTA DENTAL,LABORATORIO MAVER S.A.,Directa, $16.376,13-02-2022,15-11-2024,88%,68
604,"DICLOFENACO DIETILAMINA GEL TÓPICO 1,16%",LABORATORIOS PRATER S.A.,Directa, $74.343,04-02-2021,13-05-2026,82%,27
605,ESANTERM FORTE SUSPENSIÓN ORAL 200 mg/5 mL,FARMACEUTICA ESAN LTDA,Directa, $56.046,27-09-2020,16-04-2027,99%,73
606,"ATAC POLVO PARA SUSPENSIÓN ORAL 125 mg/5 mL, CON SOLVENTE",LABORATORIOS RECALCINE S.A.,Directa, $39.454,12-06-2020,10-04-2027,85%,44
607,AMBROXOL CLORHIDRATO JARABE 15 mg/5 mL,OPKO CHILE S.A.,Directa, $38.180,10-09-2021,06-12-2025,81%,29
608,AMBROXOL CLORHIDRATO JARABE 30 mg/5 mL,OPKO CHILE S.A.,Directa, $41.374,27-04-2022,18-08-2026,90%,50
609,PANTOTOS JARABE 15 mg/5 mL,LABORATORIOS  EUROMED CHILE S.A.,Directa, $14.269,02-04-2021,15-11-2024,97%,8
610,PANTOTOS JARABE 30 mg/5 mL,LABORATORIOS  EUROMED CHILE S.A.,Directa, $31.799,01-01-2022,13-05-2026,91%,95
611,FLUICOR ASA 81 COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 81 mg,LABORATORIO MAVER S.A.,Directa, $18.911,19-10-2020,16-04-2027,97%,96
612,IBU - 200  SUSPENSIÓN ORAL  200 mg/5 mL,LABORATORIOS ANDRÓMACO S.A.,Directa, $16.918,25-01-2021,10-04-2027,100%,32
613,SIGERMEL SOLUCIÓN TÓPICA,ISDIN CHILE LTDA.,Directa, $62.715,27-03-2020,06-12-2025,91%,34
614,PANCRIT SABOR MIEL-LIMÓN COMPRIMIDOS DE DISOLUCIÓN BUCAL,LABORATORIOS ANDRÓMACO S.A.,DIRECTA, $48.628,02-09-2020,18-08-2026,88%,23
615,"METICEL OFTENO SOLUCIÓN OFTÁLMICA 0,5%",LABORATORIOS  EUROMED CHILE S.A.,Directa, $26.144,22-12-2019,15-11-2024,96%,2
616,DOMEVOL CÁPSULAS 10 mg,LABORATORIOS  EUROMED CHILE S.A.,Directa, $10.161,31-08-2020,13-05-2026,96%,90
617,"LAGSOLETS SOLUCIÓN OFTÁLMICA 0,12 mg/mL",LABORATORIOS SMB FARMA S.A.,Directa, $72.375,01-02-2021,16-04-2027,81%,52
618,HIDRÓXIDO DE ALUMINIO SUSPENSIÓN ORAL 6%,LABORATORIO MAVER S.A.,Directa, $82.596,29-12-2020,10-04-2027,91%,81
619,LEPEX SOLUCIÓN OFTÁLMICA 5%,LABORATORIOS SMB FARMA S.A.,Directa, $84.733,05-02-2022,06-12-2025,80%,84
620,BROPAVOL  JARABE 8 mg/5 mL,LABORATORIOS  EUROMED CHILE S.A.,Directa, $27.111,12-09-2021,18-08-2026,86%,62
621,ADFEN SUSPENSIÓN ORAL 100 mg/ 5 mL,QUÍMICA Y PUBLICIDAD ALFER LTDA.,Directa, $11.732,29-03-2022,15-11-2024,92%,80
622,ADFEN FORTE SUSPENSIÓN ORAL 200 mg/5 mL,QUÍMICA Y PUBLICIDAD ALFER LTDA.,Directa, $61.360,23-12-2019,13-05-2026,89%,89
623,IBUPROFEN SUSPENSIÓN ORAL 100 mg/5 mL,OPKO CHILE S.A.,Directa, $64.381,21-04-2022,16-04-2027,88%,10
624,LEVUCAL D FORTE CÁPSULAS,LABORATORIO PASTEUR S.A.,Directa, $11.633,09-02-2021,10-04-2027,83%,76
625,IBUCON SUSPENSIÓN ORAL 100 mg/5 mL,LABORATORIOS  EUROMED CHILE S.A.,Directa, $56.591,29-06-2020,06-12-2025,80%,90
626,"NAZIL OFTENO SOLUCIÓN OFTÁLMICA 0,1 %",LABORATORIOS  EUROMED CHILE S.A.,Directa, $26.682,24-11-2021,18-08-2026,92%,60
627,PANADOL JUNIOR SUSPENSIÓN ORAL 250 mg/5 mL,GLAXOSMITHKLINE CHILE FARMACÉUTICA LTDA.,Directa, $76.962,03-12-2020,16-04-2027,92%,47
628,"ÁCIDO ACETILSALICÍLICO, CAFEÍNA Y CINAMEDRINA COMPRIMIDOS",LABORATORIO MAVER S.A.,Directa, $81.309,29-03-2021,10-04-2027,90%,83
629,HASSAPIRIN FORTE COMPRIMIDOS 650 mg,Medical International Laboratories Corporation S.A. (MINTLAB  Co. S.A.),DIRECTA, $41.628,07-03-2021,06-12-2025,89%,40
630,ANACIN MAX COMPRIMIDOS RECUBIERTOS,LABORATORIOS WYETH LLC.,Directa, $71.748,21-04-2020,18-08-2026,98%,38
631,"DICLAC GEL TÓPICO 1,16 %",LABORATORIOS  EUROMED CHILE S.A.,Directa, $82.622,02-02-2020,15-11-2024,90%,69
632,IBUCON COMPRIMIDOS RECUBIERTOS 200 mg,LABORATORIOS  EUROMED CHILE S.A.,Directa, $40.177,01-09-2021,13-05-2026,92%,86
633,DOMPERIDONA CÁPSULAS 10 mg,OPKO CHILE S.A.,Directa, $39.472,13-01-2022,16-04-2027,91%,90
634,LIMPID SHAMPOO PEDICULICIDA,LABORATORIOS FASA S.A.,Directa, $28.336,11-11-2020,10-04-2027,91%,7
635,PARACETAMOL SOLUCIÓN PARA GOTAS ORALES 100 mg/mL,DROGUERÍA FARMOQUÍMICA DEL PACÍFICO  LTDA.,Directa, $35.380,10-10-2020,06-12-2025,88%,57
636,PARACETAMOL COMPRIMIDOS 500 mg,DROGUERÍA FARMOQUÍMICA DEL PACÍFICO  LTDA.,Directa, $72.678,05-04-2021,18-08-2026,97%,95
637,GAVISCON ADVANCE SUSPENSIÓN ORAL,RECKITT BENCKISER CHILE S.A.,DIRECTA, $11.022,10-03-2020,15-11-2024,86%,48
638,DOMPERIDONA COMPRIMIDOS 10 mg,BESTPHARMA S.A.,Directa, $73.972,27-07-2020,13-05-2026,92%,99
639,CARDIOASPIRINA 100 EC COMPRIMIDOS CON RECUBRIMIENTO ENTÉRICO 100 mg,BAYER S.A.,Directa, $83.054,17-09-2021,16-04-2027,97%,22
640,GAVISCON ADVANCE COMPRIMIDOS MASTICABLES,RECKITT BENCKISER CHILE S.A.,DIRECTA, $57.843,20-10-2021,10-04-2027,92%,96
641,GAVISCON DOBLE ACCIÓN COMPRIMIDOS MASTICABLES,RECKITT BENCKISER CHILE S.A.,DIRECTA, $61.093,08-09-2021,06-12-2025,97%,30
642,GAVISCON DOBLE ACCIÓN SUSPENSIÓN ORAL,RECKITT BENCKISER CHILE S.A.,DIRECTA, $60.184,18-03-2020,18-08-2026,93%,14
643,IBUPIRAC COMPRIMIDOS RECUBIERTOS 200 mg,CHEMOPHARMA  S.A.,Directa, $72.985,04-01-2020,15-11-2024,100%,51
644,GAVISCON LIMÓN 250 COMPRIMIDOS MASTICABLES,RECKITT BENCKISER CHILE S.A.,Directa, $50.104,24-12-2019,13-05-2026,84%,21
